title,author,price,pages,avg_reviews,n_reviews,star5,star4,star3,star2,star1,publisher,ISBN_13
Business Analytics: Data Analysis & Decision Making (MindTap Course List)," S. Christian Albright,  and , Wayne L. Winston",125.49,984,4.5,95.0,0.75,0.12,0.07,0.04,0.03,"Cengage Learning; 7th edition (April 2, 2019)",978-0357109953
"Data Analysis with IBM SPSS Statistics: Implementing Data Modeling, Descriptive Statistics and ANOVA"," Kenneth Stehlik-Barry,  and , Anthony J. Babinec",37.49,682,3.8,8.0,0.53,0.23,0.24,0.0,0.0,"Packt Publishing; 1st edition (September 22, 2017)",
The Kaggle Book: Data analysis and machine learning for competitive data science," Konrad Banachewicz, Luca Massaron, et al.",46.99,534,4.4,87.0,0.75,0.09,0.06,0.06,0.04,"Packt Publishing (April 22, 2022)",978-1801817479
"Bayesian Statistics the Fun Way: Understanding Statistics and Probability with Star Wars, LEGO, and Rubber Ducks", Will Kurt,33.49,256,4.6,486.0,0.75,0.17,0.04,0.02,0.01,"No Starch Press; Illustrated edition (July 9, 2019)",978-1593279561
Statistics and Data Analysis for Nursing Research, Denise Polit,125.6,456,4.3,242.0,0.67,0.13,0.09,0.05,0.06,"Pearson; 2nd edition (August 5, 2009)", 
Behavioral Data Analysis with R and Python: Customer-Driven Data for Real Business Results, Florent Buisson,37.74,360,4.3,16.0,0.6,0.22,0.09,0.09,0.0,"O'Reilly Media; 1st edition (July 6, 2021)",978-1492061373
The Statistical Analysis of Functional MRI Data (Statistics for Biology and Health),,100.33,313,5.0,2.0,1.0,0.0,0.0,0.0,0.0,"Springer; 2008th edition (June 10, 2008)",
"Hands-On Data Analysis with Pandas: A Python data science handbook for data collection, wrangling, analysis, and visualization, 2nd Edition"," Stefanie Molin,  and , Ken Jee",35.67,788,4.3,70.0,0.66,0.19,0.05,0.03,0.07,"Packt Publishing; 2nd ed. edition (April 29, 2021)",978-1800563452
Data Visualization with Excel Dashboards and Reports, Dick Kusleika,22.99,352,4.4,87.0,0.61,0.27,0.04,0.04,0.04,"Wiley; 1st edition (January 29, 2021)",978-1119698722
Practical Statistics for Data Scientists: 50+ Essential Concepts Using R and Python," Peter Bruce, Andrew Bruce, et al.",31.9,368,4.6,736.0,0.77,0.13,0.06,0.02,0.02,"O'Reilly Media; 2nd edition (June 2, 2020)",978-1492072942
"Data Analysis: A Model Comparison Approach To Regression, ANOVA, and Beyond, Third Edition"," Charles M. Judd, Gary H. McClelland, et al.",68.62,366,4.4,30.0,0.74,0.05,0.11,0.05,0.05,"Routledge; 3rd edition (May 8, 2017)", 
Applied Survival Analysis: Regression Modeling of Time-to-Event Data," Stanley Lemeshow, Susanne May, et al.",112.03,416,4.3,32.0,0.67,0.18,0.03,0.06,0.07,"Wiley-Interscience; 2nd edition (March 7, 2008)", 
Equity Valuation and Analysis: 5th Edition," Russell Lundholm,  and , Richard Sloan",60.0,248,4.2,32.0,0.65,0.19,0.05,0.11,0.0,"Independently published (July 11, 2019)",978-1079983357
Python for Excel: A Modern Environment for Automation and Data Analysis, Felix Zumstein,32.99,335,4.6,205.0,0.73,0.17,0.04,0.03,0.02,"O'Reilly Media; 1st edition (April 13, 2021)",978-1492081005
Microsoft® Excel Data Analysis and Business Modeling, Wayne L. Winston,23.25,624,3.9,37.0,0.42,0.24,0.2,0.05,0.08,"Microsoft Press; PAP/CDR edition (February 25, 2004)",978-0735619012
Statistics & Statistical Analysis Illustrated: Foundations You Should Know,,3.99,120,4.1,16.0,0.61,0.14,0.08,0.08,0.08,,
"High-Dimensional Data Analysis with Low-Dimensional Models: Principles, Computation, and Applications"," John Wright,  and , Yi Ma",79.99,650,4.8,15.0,0.84,0.16,0.0,0.0,0.0,"Cambridge University Press; New edition (April 7, 2022)",978-1108489737
Data Structures & Algorithms in Python (Developer's Library)," John Canning, Alan Broder, et al.",69.99,928,5.0,3.0,1.0,0.0,0.0,0.0,0.0,"Addison-Wesley Professional; 1st edition (October 14, 2022)",978-0134855684
Mathematical Statistics and Data Analysis, Rice,25.85,684,4.2,76.0,0.62,0.13,0.13,0.04,0.09,"Cengage Learning; 3rd edition (November 21, 2013)", 
Hypothesis Testing: An Intuitive Guide for Making Data Driven Decisions, Jim Frost,23.74,381,4.5,112.0,0.77,0.13,0.03,0.02,0.05,"Statistics By Jim Publishing (September 14, 2020)",978-1735431154
"R for Data Science: Import, Tidy, Transform, Visualize, and Model Data"," Garrett Grolemund,  and , Hadley Wickham",42.49,518,4.7,1426.0,0.81,0.12,0.04,0.01,0.02,"O'Reilly Media; 1st edition (January 31, 2017)", 
Practical Time Series Analysis: Prediction with Statistics and Machine Learning, Aileen Nielsen,51.99,504,4.1,125.0,0.57,0.18,0.1,0.08,0.08,"O'Reilly Media; 1st edition (November 5, 2019)", 
Time Series Forecasting in Python, Marco Peixeiro,59.99,456,4.5,2.0,0.51,0.49,0.0,0.0,0.0,"Manning (October 4, 2022)", 
"Ace the Data Science Interview: 201 Real Interview Questions Asked By FAANG, Tech Startups, & Wall Street"," Nick Singh,  and , Kevin Huo",38.39,301,4.5,695.0,0.76,0.12,0.05,0.03,0.04,"Ace the Data Science Interview (August 16, 2021)",978-0578973838
Storytelling with Data: Let's Practice!, Cole Nussbaumer Knaflic,24.49,448,4.7,580.0,0.79,0.13,0.05,0.01,0.01,"Wiley; 1st edition (October 22, 2019)",978-1119621492
Thinking Clearly with Data: A Guide to Quantitative Reasoning and Analysis," Ethan Bueno de Mesquita,  and , Anthony Fowler",28.49,400,4.3,39.0,0.74,0.06,0.07,0.05,0.08,"Princeton University Press (November 16, 2021)", 
Storytelling with Data: A Data Visualization Guide for Business Professionals, Cole Nussbaumer Knaflic,35.17,288,4.6,3493.0,0.76,0.15,0.06,0.01,0.02,"Wiley; 1st edition (November 2, 2015)", 
"Essential Math for Data Science: Take Control of Your Data with Fundamental Linear Algebra, Probability, and Statistics", Thomas Nield,43.49,347,4.5,57.0,0.76,0.09,0.1,0.02,0.03,"O'Reilly Media; 1st edition (July 5, 2022)",978-1098102937
Introduction to Statistics: An Intuitive Guide for Analyzing Data and Unlocking Discoveries, Jim Frost,17.99,255,4.5,217.0,0.72,0.15,0.06,0.02,0.05,"Statistics By Jim Publishing (August 13, 2020)",978-1735431109
Data Analysis with Python and PySpark, Jonathan Rioux,48.49,456,4.8,8.0,0.82,0.18,0.0,0.0,0.0,"Manning (March 22, 2022)", 
SQL for Data Scientists: A Beginner's Guide for Building Datasets for Analysis, Renee M. P. Teate,32.49,288,4.6,60.0,0.72,0.22,0.04,0.02,0.0,"Wiley; 1st edition (August 27, 2021)",978-1119669364
Statistics and Data Analysis: From Elementary to Intermediate," Ajit Tamhane,  and , Dorothy Dunlop",146.65,736,4.4,31.0,0.69,0.13,0.07,0.04,0.06,"Pearson; 1st edition (October 18, 1999)",978-0137444267
The Art of Data Analysis: Non-Technical Skills for Data Analysts, Alberto Scappini,15.05,305,4.1,25.0,0.55,0.17,0.13,0.09,0.06,"Independently published (August 17, 2020)",978-1702688529
Microsoft Excel 2019 Data Analysis and Business Modeling (Business Skills),,35.35,880,4.6,483.0,0.73,0.15,0.08,0.02,0.02,"Microsoft Press; 6th edition (April 15, 2019)",978-1509305889
"Introduction to Error Analysis: The Science of Measurements, Uncertainties, and Data Analysis", Jack Merrin,19.99,112,4.6,13.0,0.79,0.16,0.06,0.0,0.0,"CreateSpace Independent Publishing Platform; 1st edition (August 29, 2017)",978-1975906658
"R Cookbook: Proven Recipes for Data Analysis, Statistics, and Graphics"," JD Long,  and , Paul Teetor",69.99,600,4.6,107.0,0.72,0.16,0.08,0.04,0.0,"O'Reilly Media; 2nd edition (July 16, 2019)",978-1492040682
"Python for Geospatial Data Analysis: Theory, Tools, and Practice for Location Intelligence", Bonny McClain,59.05,279,3.0,1.0,1.0,0.0,0.0,0.0,0.0,"O'Reilly Media; 1st edition (November 29, 2022)",978-1098104795
Data Analysis Using SQL and Excel, Gordon S. Linoff,35.05,800,4.4,96.0,0.63,0.24,0.11,0.03,0.0,"Wiley; 2nd edition (December 14, 2015)",978-1119021438
Optimization for Data Analysis," Stephen J. Wright,  and , Benjamin Recht",49.99,238,5.0,3.0,1.0,0.0,0.0,0.0,0.0,"Cambridge University Press; New edition (April 28, 2022)",978-1316518984
"Microsoft Power BI Quick Start Guide: Bring your data to life through data modeling, visualization, digital storytelling, and more, 2nd Edition"," Devin Knight, Mitchell Pearson, et al.",28.49,296,4.3,157.0,0.59,0.23,0.13,0.04,0.02,"Packt Publishing; 2nd ed. edition (October 30, 2020)",978-1800561571
Mastering PyTorch: Build powerful neural network architectures using advanced PyTorch 1.x features," Ashish Ranjan Jha,  and , Dr. Gopinath Pillai",39.99,450,4.4,24.0,0.61,0.24,0.07,0.08,0.0,"Packt Publishing (February 12, 2021)", 
Using Data to Focus Instructional Improvement," Cheryl James-Ward, Douglas Fisher, et al.",20.13,134,4.6,78.0,0.77,0.15,0.05,0.02,0.02,"ASCD; 1.7.2013 edition (February 6, 2013)",x
DATA ANALYTICS: Simple and Effective Tips and Tricks to Learn Data Analytics Effectively,,21.22,167,5.0,2.0,1.0,0.0,0.0,0.0,0.0,"Independently published (August 24, 2020)",979-8678745439
"Azure Data Engineering Cookbook: Get well versed in various data engineering techniques in Azure using this recipe-based guide, 2nd Edition"," Nagaraj Venkatesan,  and , Ahmad Osama",49.99,608,5.0,6.0,1.0,0.0,0.0,0.0,0.0,"Packt Publishing; 2nd ed. edition (September 26, 2022)",978-1803246789
Communicating with Data Visualisation: A Practical Guide," Adam Frost, Tobias Sturt, et al.",54.15,368,4.4,3.0,0.38,0.62,0.0,0.0,0.0,"SAGE Publications Ltd; 1st edition (March 1, 2022)", 
"Pandas 1.x Cookbook: Practical recipes for scientific computing, time series analysis, and exploratory data analysis using Python, 2nd Edition"," Matt Harrison,  and , Theodore Petrou",39.99,626,4.3,89.0,0.63,0.16,0.16,0.06,0.0,"Packt Publishing (February 27, 2020)",978-1839213106
The Data Vault Guru: a pragmatic guide on building a data vault, Mr Patrick Cuba,61.25,676,4.1,13.0,0.57,0.23,0.1,0.1,0.0,"Independently published (October 6, 2020)",979-8691308086
Hands-On Network Forensics: Investigate network attacks and find evidence using common network forensic tools, Nipun Jaswal,40.84,358,4.4,40.0,0.62,0.26,0.08,0.03,0.0,"Packt Publishing (March 30, 2019)",978-1789344523
Azure Synapse Analytics Cookbook: Implement a limitless analytical platform using effective recipes for Azure Synapse," Gaurav Agarwal, Meenakshi Muralidharan, et al.",41.99,238,4.4,10.0,0.85,0.15,0.0,0.0,0.0,"Packt Publishing (April 29, 2022)",978-1803231501
Learn Power BI: A beginner's guide to developing interactive business intelligence solutions using Microsoft Power BI, Greg Deckler,41.99,362,4.0,40.0,0.51,0.23,0.09,0.09,0.08,"Packt Publishing (September 13, 2019)", 
Interactive Dashboards and Data Apps with Plotly and Dash: Harness the power of a fully fledged frontend web framework in Python – no JavaScript required, Elias Dabbas,40.71,Expand your app by creating dynamic  that generate content based on URLs,4.4,41.0,0.6,0.26,0.07,0.04,0.04,"Packt Publishing (May 21, 2021)",978-1800568914
Advanced Algorithms and Data Structures, Marcello La Rocca,45.99,768,4.2,22.0,0.63,0.22,0.08,0.08,0.0,"Manning (June 29, 2021)", 
Python and Algorithmic Thinking for the Complete Beginner (2nd Edition): Learn to Think Like a Programmer, Aristides S Bouras,48.98,688,4.5,92.0,0.72,0.16,0.06,0.02,0.05,"Independently published (June 16, 2019)",978-1099184871
Extreme DAX: Take your Power BI and Microsoft data analytics skills to the next level," Michiel Rozema,  and , Henk Vlootman",46.99,470,4.7,56.0,0.83,0.12,0.04,0.0,0.0,"Packt Publishing (January 20, 2022)",978-1801078511
Effective Pandas: Patterns for Data Manipulation (Treading on Python),,32.01,497,4.7,162.0,0.82,0.1,0.05,0.02,0.02,"Independently published (December 8, 2021)", 
"Investing for Young Adults: How to Earn, Save, Invest, Grow Your Money and Retire Early!", Kris Pearson,11.89,143,5.0,38.0,1.0,0.0,0.0,0.0,0.0,"Canyon Press (October 30, 2022)",978-1957590325
"Data Analysis for Business, Economics, and Policy"," Gábor Békés,  and , Gábor Kézdi",67.98,738,4.3,30.0,0.67,0.12,0.12,0.05,0.05,"Cambridge University Press (May 6, 2021)",978-1108716208
Microsoft Excel Data Analysis and Business Modeling (Office 2021 and Microsoft 365) (Business Skills), Wayne Winston,34.87,1168,4.7,62.0,0.77,0.16,0.03,0.04,0.0,"Microsoft Press; 7th edition (December 16, 2021)",978-0137613663
"Python for Data Analysis: Data Wrangling with pandas, NumPy, and Jupyter", Wes McKinney,37.0,579,4.4,34.0,0.73,0.1,0.07,0.07,0.04,"O'Reilly Media; 3rd edition (September 20, 2022)",978-1098104030
Data Analysis for Social Science: A Friendly and Practical Introduction," Elena Llaudet,  and , Kosuke Imai",39.95,256,5.0,1.0,1.0,0.0,0.0,0.0,0.0,"Princeton University Press (November 29, 2022)",978-0691199436
Scalable Data Architecture with Java: Build efficient enterprise-grade data architecting solutions using Java, Sinchan Banerjee,44.99,382,5.0,1.0,1.0,0.0,0.0,0.0,0.0,"Packt Publishing (September 30, 2022)", 
Data Mining: Concepts and Techniques (The Morgan Kaufmann Series in Data Management Systems)," Jiawei Han, Jian Pei, et al.",89.95,752,4.1,49.0,0.57,0.23,0.08,0.11,0.0,"Morgan Kaufmann; 4th edition (October 17, 2022)",978-0128117606
Data Literacy in Practice: A complete guide to data literacy and making smarter decisions with data through intelligent actions," Angelika Klidas,  and , Kevin Hanegan",54.44,396,5.0,2.0,1.0,0.0,0.0,0.0,0.0,"Packt Publishing (November 30, 2022)", 
Python Distilled (Developer's Library),,36.46,352,4.6,115.0,0.79,0.09,0.07,0.01,0.03,"Pearson; 1st edition (September 22, 2021)",-27%
Python All-in-One For Dummies (For Dummies (Computer/Tech))," John C. Shovic,  and , Alan Simpson",29.99,720,4.6,243.0,0.73,0.16,0.07,0.01,0.03,"For Dummies; 2nd edition (April 9, 2021)",978-1119787600
Beyond the Basic Stuff with Python: Best Practices for Writing Clean Code, Al Sweigart,30.22,384,4.7,259.0,0.79,0.16,0.03,0.02,0.0,"No Starch Press (December 16, 2020)", 
Python Basics: A Practical Introduction to Python 3," David Amos, Dan Bader, et al.",9.99,637,4.6,491.0,0.77,0.16,0.04,0.02,0.01,"Real Python (realpython.com); 4th edition (August 30, 2022)",
Python Programming for Beginners: The Most Comprehensive Programming Guide to Become a Python Expert from Scratch in No Time. Includes Hands-On Exercises, Cory Reed,18.51,121,4.7,249.0,0.89,0.02,0.01,0.01,0.06,"Independently published (September 22, 2022)",979-8354101856
Introducing Python: Modern Computing in Simple Packages, Bill Lubanovic,24.49,630,4.7,363.0,0.81,0.12,0.04,0.01,0.02,"O'Reilly Media; 2nd edition (December 3, 2019)",79
"Black Hat Python, 2nd Edition: Python Programming for Hackers and Pentesters"," Justin Seitz,  and , Tim Arnold",40.49,216,4.7,406.0,0.81,0.12,0.05,0.01,0.02,"No Starch Press; 2nd edition (April 14, 2021)",99
"Python for Kids, 2nd Edition: A Playful Introduction to Programming", Jason R. Briggs,33.61,368,5.0,1.0,1.0,0.0,0.0,0.0,0.0,"No Starch Press; 2nd edition (November 15, 2022)", 
Python for Tweens and Teens - 2nd Edition (Full Color Version): Learn Computational and Algorithmic Thinking, Aristides Bouras,47.7,360,4.5,61.0,0.7,0.19,0.06,0.03,0.03,"Independently published (February 28, 2022)",979-8494183804
Python 3: The Comprehensive Guide to Hands-On Python Programming," Johannes Ernesti,  and , Peter Kaiser",55.48,"1,000",4.3,9.0,0.71,0.14,0.14,0.0,0.0,"Rheinwerk Computing; First edition (September 28, 2022)",978-1493223022
The Book of Dash: Build Dashboards with Python and Plotly," Adam Schroeder, Christian Mayer, et al.",34.49,224,4.0,1.0,1.0,0.0,0.0,0.0,0.0,"No Starch Press (October 25, 2022)",978-1718502222
"Invent Your Own Computer Games with Python, 4th Edition", Al Sweigart,20.49,376,4.7,442.0,0.8,0.13,0.06,0.01,0.01,"No Starch Press; 4th edition (December 16, 2016)", 
"Python Architecture Patterns: Master API design, event-driven structures, and package management in Python", Jaime Buelta,41.99,594,4.3,23.0,0.72,0.06,0.07,0.07,0.07,"Packt Publishing (January 12, 2022)",978-1801819992
Python: - The Bible- 3 Manuscripts in 1 book: -Python Programming For Beginners -Python Programming For Intermediates -Python Programming for Advanced (Your place to learn Python with ease),,27.97,375,4.3,4228.0,0.64,0.16,0.1,0.04,0.06,"Independently published (April 28, 2018)",978-1980953906
Introduction to Synthetic Aperture Radar Using Python and MATLAB®, Lee Andrew (Andy) Harrison,151.59,390,5.0,1.0,1.0,0.0,0.0,0.0,0.0,"Artech House (August 31, 2022)", 
"Testing Python: Applying Unit Testing, TDD, BDD and Acceptance Testing", David Sale,27.0,201,4.1,30.0,0.53,0.19,0.13,0.09,0.05,"Wiley; 1st edition (July 3, 2014)",
An Introduction to Python Programming for Scientists and Engineers," Johnny Wei-Bing Lin, Hannah Aizenman, et al.",78.41,766,1.0,1.0,1.0,0.0,0.0,0.0,0.0,"Cambridge University Press; New edition (October 6, 2022)",978-1108701129
Impractical Python Projects: Playful Programming Activities to Make You Smarter, Lee Vaughan,18.99,424,4.7,297.0,0.8,0.13,0.06,0.01,0.0,"No Starch Press; Illustrated edition (November 27, 2018)", 
"Python Programming Exercises, Gently Explained", Al Sweigart,6.99,160,5.0,3.0,1.0,0.0,0.0,0.0,0.0,"Independently published (September 30, 2022)",979-8355387686
Teach Yourself VISUALLY Python (Teach Yourself VISUALLY (Tech))," Ted Hart-Davis,  and , Guy Hart-Davis",22.3,304,3.0,1.0,1.0,0.0,0.0,0.0,0.0,"Wiley; 1st edition (September 7, 2022)",978-1119860259
"Python One-Liners: Write Concise, Eloquent Python Like a Professional", Christian Mayer,39.55,216,4.8,126.0,0.82,0.14,0.02,0.02,0.0,"No Starch Press; Illustrated edition (June 2, 2020)",978-1718500501
Python for Cybersecurity: Using Python for Cyber Offense and Defense, Howard E. Poston III,23.14,240,4.7,12.0,0.89,0.11,0.0,0.0,0.0,"Wiley; 1st edition (March 4, 2022)",978-1119850649
"Python Cookbook, Third Edition",,51.48,704,4.6,579.0,0.78,0.14,0.04,0.02,0.02,"O'Reilly Media; 3rd edition (June 25, 2013)",-21%
Learn Python 3 the Hard Way: A Very Simple Introduction to the Terrifyingly Beautiful World of Computers and Code (Zed Shaw's Hard Way Series),,29.99,320,4.4,932.0,0.69,0.16,0.07,0.03,0.04,"Addison-Wesley Professional; 1st edition (June 27, 2017)",978-0134692883
Data Visualization in Python, Daniel Nelson,58.11,345,3.3,12.0,0.55,0.11,0.34,0.0,0.0,"Independently published (September 15, 2020)", 
"Quantitative Finance with Python: A Practical Guide to Investment Management, Trading, and Financial Engineering (Chapman and Hall/CRC Financial Mathematics Series)",,92.7,659,4.3,5.0,0.54,0.23,0.23,0.0,0.0,"Chapman and Hall/CRC; 1st edition (May 20, 2022)",978-1032014432
Python for DevOps: Learn Ruthlessly Effective Automation," Noah Gift, Kennedy Behrman, et al.",35.99,506,4.5,236.0,0.74,0.13,0.08,0.03,0.02,"O'Reilly Media; 1st edition (January 7, 2020)", 
Learn Coding Basics in Hours with Python," The Tech Academy, Jack C. Stanley, et al.",3.99,107,4.5,326.0,0.7,0.18,0.07,0.04,0.01,"Jack Stanley (November 17, 2017)",978-0997326475
Learn Python Programming: A complete Guide to Learning Python basics and it’s Practical Applications in recent Development Technologies,,13.75,174,4.9,59.0,0.91,0.09,0.0,0.0,0.0,"Independently published (October 26, 2022)",75
"Django 4 By Example: Build powerful and reliable Python web applications from scratch, 4th Edition"," Antonio Mele,  and , Bob Belderbos",49.99,764,4.7,28.0,0.8,0.12,0.09,0.0,0.0,"Packt Publishing; 4th ed. edition (August 29, 2022)",978-1801813051
Artificial Intelligence Programming with Python: From Zero to Hero, Perry Xiao,28.49,720,5.0,6.0,1.0,0.0,0.0,0.0,0.0,"Wiley; 1st edition (March 11, 2022)",978-1119820864
High Performance Python: Practical Performant Programming for Humans," Micha Gorelick,  and , Ian Ozsvald",28.49,468,4.7,146.0,0.81,0.11,0.07,0.01,0.0,"O'Reilly Media; 2nd edition (May 26, 2020)",978-1492055020
Murach's Python Programming (2nd Edition)," Joel Murach,  and , Michael Urban",48.78,564,4.6,93.0,0.81,0.07,0.06,0.02,0.04,"Mike Murach & Associates; 2nd edition (May 7, 2021)",978-1943872749
Hands-On Financial Trading with Python: A practical guide to using Zipline and other Python libraries for backtesting trading strategies," Jiri Pik,  and , Sourav Ghosh",46.99,360,4.4,25.0,0.67,0.12,0.13,0.07,0.0,"Packt Publishing (April 29, 2021)", 
"Serious Python: Black-Belt Advice on Deployment, Scalability, Testing, and More", Julien Danjou,29.24,240,4.7,336.0,0.79,0.13,0.05,0.01,0.01,"No Starch Press; Illustrated edition (December 27, 2018)",978-1593278786
"Ball Pythons as Pets - Your Complete Owners Guide: Ball Python Breeding, Caring, Where To Buy, Types, Temperament, Cost, Health, Handling, Husbandry, Diet, And Much More!", Jacqueline Silverdale,11.97,56,4.3,210.0,0.69,0.11,0.1,0.04,0.06,"CreateSpace Independent Publishing Platform (November 16, 2017)",978-1979824781
Machine Learning for Financial Risk Management with Python: Algorithms for Modeling Risk, Abdullah Karasan,49.99,334,3.8,8.0,0.58,0.26,0.16,0.0,0.0,"O'Reilly Media; 1st edition (December 28, 2021)",978-1492085256
Begin to Code with Python, Rob Miles,27.32,528,4.4,64.0,0.64,0.22,0.08,0.02,0.04,"Microsoft Press; 1st edition (December 8, 2017)", 
Python Programming in Context," Bradley N. Miller, David L. Ranum, et al.",71.75,498,4.4,48.0,0.7,0.14,0.09,0.07,0.0,"Jones & Bartlett Learning; 3rd edition (October 15, 2019)", 
Python Scripting for ArcGIS Pro, Paul A. Zandbergen,50.99,412,4.5,141.0,0.71,0.17,0.08,0.03,0.01,"Esri Press; 2nd edition (July 7, 2020)",978-1589484993
The Spirit of Python: Exposing Satan’s Plan to Squeeze the Life Out of You, Jentezen Franklin,16.99,256,4.8,905.0,0.88,0.08,0.03,0.01,0.01,"Charisma House; 8.4.2013 edition (September 3, 2013)",49
Mission Python: Code a Space Adventure Game!, Sean McManus,29.95,280,4.5,159.0,0.7,0.19,0.06,0.03,0.03,"No Starch Press (October 16, 2018)",978-1593278571
"Python 3 Standard Library by Example, The (Developer's Library)",,59.99,1456,4.5,120.0,0.74,0.14,0.06,0.04,0.03,"Addison-Wesley Professional; 1st edition (June 1, 2017)",978-0134291055
"Python Scripting for ArcGIS (Python Scripting, 1)", Paul A. Zandbergen,59.77,358,4.5,185.0,0.7,0.16,0.09,0.02,0.04,"Esri Press; First Edition (February 2, 2015)",978-1589483712
"Advanced Python Programming: Accelerate your Python programs using proven techniques and design patterns, 2nd Edition", Quan Nguyen,49.99,606,4.3,14.0,0.67,0.1,0.11,0.11,0.0,"Packt Publishing; 2nd ed. edition (March 25, 2022)",978-1801814010
100 Days of Code Learning Journal: Notebook for Python programming beginners/learners. Gift for programmer. Progress tracker. Game /Coding Projects., Corinth Ruiz,7.0,108,5.0,1.0,1.0,0.0,0.0,0.0,0.0,"Independently published (November 28, 2021)",979-8775112295
"Learn Python Programming: An in-depth introduction to the fundamentals of Python, 3rd Edition"," Fabrizio Romano,  and , Heinrich Kruger",37.11,552,4.3,48.0,0.55,0.29,0.09,0.04,0.04,"Packt Publishing; 3rd ed. edition (October 29, 2021)",978-1801815093
Python for Finance: Mastering Data-Driven Finance, Yves Hilpisch,65.05,720,4.6,268.0,0.77,0.14,0.05,0.02,0.02,"O'Reilly Media; 2nd edition (January 8, 2019)",978-1492024330
Speed Up Your Python with Rust: Optimize Python performance by creating Python pip modules in Rust with PyO3, Maxwell Flitton,41.99,384,4.8,12.0,0.78,0.22,0.0,0.0,0.0,"Packt Publishing (January 21, 2022)", 
"Python Flash Cards: Syntax, Concepts, and Examples", Eric Matthes,27.95,101,4.7,406.0,0.78,0.14,0.05,0.01,0.01,"No Starch Press; Flc Crds edition (January 15, 2019)",978-1593278960
Reticulated Pythons: A complete guide to care and husbandry," Sid James, Ben Way, et al.",29.0,130,4.7,66.0,0.81,0.16,0.04,0.0,0.0,"Andrew James (November 5, 2018)",978-1916499706
"Python for RTL Verification: A complete course in Python, cocotb, and pyuvm", Ray Salemi,44.95,343,4.5,12.0,0.77,0.11,0.12,0.0,0.0,"Independently published (September 3, 2022)", 
Learn to Program with Minecraft: Transform Your World with the Power of Python, Craig Richardson,29.05,336,4.4,303.0,0.68,0.15,0.08,0.04,0.04,"No Starch Press; 1st edition (December 1, 2015)", 
A Student's Guide to Python for Physical Modeling: Updated Edition," Jesse M. Kinder,  and , Philip Nelson",4.95,168,4.5,87.0,0.72,0.16,0.06,0.03,0.02,"Princeton University Press; Revised edition (January 30, 2018)",978-0691180571
Mathematical Logic through Python, Gonczarowski Yannai A.,36.5,284,5.0,6.0,1.0,0.0,0.0,0.0,0.0,"Cambridge University Press; New edition (September 15, 2022)",978-1108949477
Deep Learning from Scratch: Building with Python from First Principles, Seth Weidman,38.99,252,4.3,84.0,0.63,0.2,0.08,0.04,0.05,"O'Reilly Media; 1st edition (October 1, 2019)",978-9352139026
"Practical Python Programming for IoT: Build advanced IoT projects using a Raspberry Pi 4, MQTT, RESTful APIs, WebSockets, and Python 3", Gary Smart,39.99,516,4.5,53.0,0.65,0.26,0.04,0.03,0.03,"Packt Publishing (November 12, 2020)", 
Modern Computer Vision with PyTorch: Explore deep learning concepts and implement over 50 real-world image applications," V Kishore Ayyadevara,  and , Yeshwanth Reddy",48.84,824,4.6,56.0,0.81,0.11,0.03,0.06,0.0,"Packt Publishing (November 27, 2020)",978-1839213472
"Python Feature Engineering Cookbook: Over 70 recipes for creating, engineering, and transforming features to build machine learning models, 2nd Edition", Soledad Galli,61.24,386,5.0,1.0,1.0,0.0,0.0,0.0,0.0,"Packt Publishing (October 31, 2022)", 
Modern Time Series Forecasting with Python: Explore industry-ready time series forecasting using modern machine learning and deep learning, Manu Joseph,44.99,552,5.0,2.0,1.0,0.0,0.0,0.0,0.0,"Packt Publishing (November 24, 2022)",978-1803246802
The Hitchhiker's Guide to Python: Best Practices for Development," Kenneth Reitz,  and , Tanya Schlusser",24.99,336,4.4,132.0,0.66,0.16,0.13,0.03,0.03,"O'Reilly Media; 1st edition (October 18, 2016)",978-1491933176
A Smarter Way to Learn Python: Learn it faster. Remember it longer., Mark Myers,19.95,236,4.6,1068.0,0.76,0.14,0.07,0.02,0.02,"CreateSpace Independent Publishing Platform (August 9, 2017)",978-1974431472
"Math for Programmers: 3D graphics, machine learning, and simulations with Python", Paul Orland,40.84,688,4.5,65.0,0.72,0.13,0.08,0.03,0.05,"Manning; 1st edition (January 12, 2021)",978-1617295355
Beginning Programming with Python For Dummies, John Paul Mueller,24.49,416,4.4,279.0,0.65,0.19,0.07,0.04,0.05,"For Dummies; 2nd edition (February 13, 2018)", 
The Pythons' Autobiography By The Pythons," Bob McCabe, Eric Idle, et al.",19.99,464,4.6,149.0,0.76,0.15,0.07,0.01,0.01,"Orion; New Ed edition (February 23, 2021)",69
"Microsoft Python Certification Exam 98-281 & PCEP – Preparation Guide: Introduction To Programming Using Python, PCEP – Certified Entry Level Python Programmer"," Raman Publications, R Raman, et al.",19.99,151,3.9,18.0,0.59,0.13,0.15,0.13,0.0,"Independently published (January 14, 2021)",979-8589463590
"Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow: Concepts, Tools, and Techniques to Build Intelligent Systems", Aurélien Géron,57.49,856,4.8,3129.0,0.85,0.1,0.03,0.01,0.02,"O'Reilly Media; 2nd edition (October 15, 2019)",978-1492032649
