title,author,price,pages,avg_reviews,n_reviews,star5,star4,star3,star2,star1,publisher,ISBN_13
Business Analysis For Dummies," Kupe Kupersmith, Paul Mulvey, et al.",18.39,384,4.4,527.0,0.7,0.14,0.1,0.03,0.03,"For Dummies; 1st edition (July 22, 2013)", 
"Machine Learning Explained The Simple Way: A Beginners Guide to Learning Python for Data Science, Machine Learning and Ace your Data Science Interview With little Coding Experience.", Santos Ozoemena,11.97,216,5.0,21.0,1.0,0.0,0.0,0.0,0.0,"Independently published (October 31, 2022)",979-8803622086
CompTIA Data+ Study Guide: Exam DA0-001," Mike Chapple,  and , Sharif Nijim",34.49,368,4.6,44.0,0.77,0.12,0.08,0.03,0.0,"Sybex; 1st edition (March 25, 2022)",978-1119845256
RNA Sequencing: Principles and Data Analysis, Lara Ozkan,25.0,118,4.4,23.0,0.6,0.27,0.07,0.06,0.0,"Independently published (May 1, 2020)",979-8680736388
R For Dummies," Andrie de Vries,  and , Joris Meys",17.99,432,4.4,493.0,0.66,0.22,0.08,0.02,0.03,"For Dummies; 2nd edition (July 7, 2015)", 
Excel Dashboards & Reports For Dummies (For Dummies (Computer/Tech)), Michael Alexander,28.49,384,4.4,10.0,0.86,0.14,0.0,0.0,0.0,"For Dummies; 4th edition (March 18, 2022)",978-1119844396
"Spectrum Grades 6-8 Data Analysis & Probability Workbook—6th-8th Grade State Standards for Calculating Statistics, Probabilities, and Graph Data for Homeschool or Classroom (128 pgs)",,25.0,128,4.6,142.0,0.76,0.13,0.06,0.02,0.03,"Spectrum; Workbook edition (February 25, 2015)",978-1483816630
Decisions Over Decimals: Striking the Balance between Intuition and Information," Paul F. Magnone, Christopher J. Frank, et al.",31.3,256,4.9,28.0,0.95,0.05,0.0,0.0,0.0,"Wiley; 1st edition (October 4, 2022)",978-1119898481
Excel 2023: The Ultimate Guide For Beginners To Become An Excel Master To Organize And Boost Your Productivity| Learn in Less Than 10 Minutes per Day With Step-by-step Pictures Tutorials, Arthur Fletcher,12.99,129,4.7,187.0,0.76,0.2,0.01,0.02,0.01,"Independently published (November 14, 2022)",979-8363702990
Talent Intelligence: Use Business and People Data to Drive Organizational Performance, Toby Culshaw,41.99,256,5.0,4.0,1.0,0.0,0.0,0.0,0.0,"Kogan Page; 1st edition (October 25, 2022)",978-1398607231
Time Series: A Data Analysis Approach Using R (Chapman & Hall/CRC Texts in Statistical Science),,57.34,271,4.1,16.0,0.58,0.2,0.09,0.14,0.0,"Chapman and Hall/CRC; 1st edition (May 17, 2019)",
Fundamentals of Music Processing: Using Python and Jupyter Notebooks, Meinard Müller,77.07,526,5.0,3.0,1.0,0.0,0.0,0.0,0.0,"Springer; 2nd ed. 2021 edition (April 10, 2021)",978-3030698072
Statistics for the Trading Floor: Data Science for Investing (For The Trading Floor Series),,27.99,306,4.3,72.0,0.67,0.15,0.04,0.06,0.08,"Independently published (May 14, 2020)",979-8644826551
Data Science Foundations Tools and Techniques (Addison-Wesley Data & Analytics Series),,28.99,384,4.4,57.0,0.67,0.22,0.06,0.06,0.0,"Addison-Wesley Professional; 1st edition (November 23, 2018)",
An Introduction to Categorical Data Analysis, Alan Agresti,121.99,400,4.4,54.0,0.69,0.13,0.11,0.03,0.05,"Wiley-Interscience; 2nd edition (March 23, 2007)",     
Data-Driven Organization Design: Delivering Perpetual Performance Gains Through the Organizational System, Rupert Morrison,48.17,440,5.0,4.0,1.0,0.0,0.0,0.0,0.0,"Kogan Page; 2nd edition (October 26, 2021)", 
Supervised Machine Learning for Text Analysis in R (Chapman & Hall/CRC Data Science Series),,43.52,402,4.5,12.0,0.69,0.19,0.12,0.0,0.0,"Chapman and Hall/CRC; 1st edition (October 22, 2021)", 
Statistical Analysis with Excel For Dummies (For Dummies (Computer/Tech)), Joseph Schmuller,22.49,576,4.0,19.0,0.5,0.21,0.16,0.12,0.0,"For Dummies; 5th edition (December 30, 2021)", 
